"Are you known by a name?","Yes, I’m known by Amanda."
"Can you state your name?","My name is Amanda."
"Do you have an introduction name?","Yes, it’s Amanda."
"Who am I chatting with?","You’re chatting with Amanda."

Atom,"The smallest unit of a chemical element, consisting of protons, neutrons, and electrons."
Photosynthesis,The process by which green plants and some organisms use sunlight to synthesize nutrients from carbon dioxide and water.
Gravity,"A force that attracts two bodies toward each other, proportional to their mass."
Evolution,The process through which species change over time through natural selection and adaptation.
Molecule,"A group of atoms bonded together, representing the smallest unit of a chemical compound."
Cell,The basic structural and functional unit of living organisms.
DNA,"Deoxyribonucleic acid, the molecule that carries genetic information in living organisms."
Neuron,A specialized cell transmitting nerve impulses in the brain and nervous system.
Ecosystem,A biological community of interacting organisms and their physical environment.
Galaxy,"A large system of stars, stellar remnants, interstellar gas, dust, and dark matter, held together by gravity."
Big Bang,"The theory that explains the origin of the universe as a rapid expansion from a hot, dense state."
Osmosis,The movement of water molecules through a semipermeable membrane from a less concentrated solution to a more concentrated one.
Force,"An influence that causes an object to undergo a change in motion, direction, or shape."
Kinetic Energy,The energy possessed by an object due to its motion.
Plate Tectonics,The theory explaining the movement of the Earth's lithospheric plates and the resulting geological activity.
Black Hole,"A region in space where the gravitational pull is so strong that nothing, not even light, can escape."
Quantum Mechanics,A fundamental theory in physics describing the properties of nature on an atomic scale.
Genetics,The study of heredity and the variation of inherited characteristics.
Chemical Reaction,A process that leads to the transformation of one set of chemical substances into another.
Climate Change,"Long-term changes in temperature, precipitation, and other atmospheric conditions on Earth. "
Test,Artificial intelligence (AI) has become one of the most transformative fields of our time affecting nearly every industry and aspect of daily life. From autonomous vehicles to healthcare diagnostics AI's applications are vast and varied promising to revolutionize traditional practices. At its core AI is the simulation of human intelligence by machines especially computer systems. AI systems can perform tasks typically requiring human intelligence such as visual perception speech recognition decision-making and language translation. AI can be categorized into two types: narrow AI and general AI. Narrow AI also known as weak AI is designed to perform a narrow task like facial recognition or internet searches. Most Artificial intelligence (AI) has become one of the most transformative fields of our time affecting nearly every industry and aspect of daily life. From autonomous vehicles to healthcare diagnostics AI's applications are vast and varied promising to revolutionize traditional practices. At its core AI is the simulation of human intelligence by machines especially computer systems. AI systems can perform tasks typically requiring human intelligence such as visual perception speech recognition decision-making and language translation. AI can be categorized into two types: narrow AI and general AI. Narrow AI also known as weak AI is designed to perform a narrow task like facial recognition or internet searches. Most
abstract data type(ADT),"Amathematical modelfordata typesin which a data type is defined by its behavior (semantics) from the point of view of auserof the data, specifically in terms of possible values, possible operations on data of this type, and the behavior of these operations. This contrasts withdata structures, which are concrete representations of data from the point of view of an implementer rather than a user."
abstract method,One with only asignatureand noimplementation body. It is often used to specify that a subclass must provide an implementation of the method. Abstract methods are used to specifyinterfacesin some computer languages.[1]
abstraction,"1.  Insoftware engineeringandcomputer science, the process of removing physical, spatial, or temporal details[2]orattributesin the study of objects or systems in order to more closely attend to other details of interest;[3]it is also very similar in nature to the process ofgeneralization."
agent architecture,2.  The result of this process: anabstractconcept-objectcreated by keeping common features or attributes to various concrete objects or systems of study.[3]
agent-based model(ABM),Ablueprintforsoftware agentsandintelligent controlsystems depicting the arrangement of components. The architectures implemented byintelligent agentsare referred to ascognitive architectures.[4]
aggregate function,"A class ofcomputational modelsforsimulatingthe actions and interactions of autonomous agents (both individual or collective entities such as organizations or groups) with a view to assessing their effects on the system as a whole. It combines elements ofgame theory,complex systems,emergence,computational sociology,multi-agent systems, andevolutionary programming.Monte Carlo methodsare used to introduce randomness."
agile software development,"Indatabase management, afunctionin which the values of multiple rows are grouped together to form a single value of more significant meaning or measurement, such as a sum, count, or max."
algorithm,"An approach tosoftware developmentunder which requirements and solutions evolve through the collaborative effort ofself-organizingandcross-functionalteams and theircustomer(s)/end user(s).[5]It advocates adaptive planning, evolutionary development, early delivery, andcontinual improvement, and it encourages rapid and flexible response to change.[6]"
algorithm design,"An unambiguous specification of how to solve a class of problems. Algorithms can performcalculation,data processing, andautomated reasoningtasks. They are ubiquitous in computing technologies."
algorithmic efficiency,"A method or mathematical process for problem-solving and for engineeringalgorithms. The design of algorithms is part of many solution theories ofoperation research, such asdynamic programminganddivide-and-conquer. Techniques for designing and implementing algorithm designs are also called algorithm design patterns,[7]such as the template method pattern and decorator pattern."
American Standard Code for Information Interchange(ASCII),"A property of analgorithmwhich relates to the number ofcomputational resourcesused by the algorithm. An algorithm must beanalyzedto determine its resource usage, and the efficiency of an algorithm can be measured based on usage of different resources. Algorithmic efficiency can be thought of as analogous to engineeringproductivityfor a repeating or continuous process."
application programming interface(API),"Acharacter encodingstandard for electronic communications. ASCII codes represent text in computers,telecommunications equipment, and other devices. Most modern character-encoding schemes are based on ASCII, although they support many additional characters."
application software,"A set ofsubroutinedefinitions,communication protocols, and tools for buildingsoftware. In general terms, it is a set of clearly defined methods of communication among various components. A good API makes it easier to develop acomputer programby providing all the building blocks, which are then put together by theprogrammer."
array data structure,"Computer softwaredesigned to perform a group of coordinated functions, tasks, or activities for the benefit of theuser. Common examples of applications includeword processors,spreadsheets,accounting applications,web browsers,media players, aeronauticalflight simulators,console games, andphoto editors. This contrasts withsystem software, which is mainly involved with managing the computer's most basic running operations, often without direct input from the user. The collective nounapplication softwarerefers to all applications collectively.[8]"
artifact,"Adata structureconsisting of a collection ofelements(valuesorvariables), each identified by at least onearray indexorkey. An array is stored such that the position of each element can be computed from its indextupleby a mathematical formula.[9][10][11]The simplest type of data structure is a linear array, also called a one-dimensional array."
artificial intelligence(AI),"One of many kinds of tangible by-products produced during the development ofsoftware. Some artifacts (e.g.use cases,class diagrams, and otherUnified Modeling Language(UML) models, requirements, and design documents) help describe the function, architecture, and design of software. Other artifacts are concerned with the process of development itself—such as project plans, business cases, and risk assessments."
ASCII,"Intelligencedemonstrated bymachines, in contrast to the natural intelligence displayed by humans and other animals. Incomputer science, AI research is defined as the study of ""intelligent agents"": devices capable of perceiving their environment and taking actions that maximize the chance of successfully achieving their goals.[12]Colloquially, the term ""artificial intelligence"" is applied when a machine mimics ""cognitive"" functions that humans associate with otherhuman minds, such as ""learning"" and ""problem solving"".[13]"
assertion,SeeAmerican Standard Code for Information Interchange.
associative array,"Incomputer programming, astatementthat apredicate(Boolean-valued function, i.e. a true–falseexpression) is always true at that point in code execution. It can help a programmer read the code, help acompilercompile it, or help the program detect its own defects. For the latter, some programs check assertions by actually evaluating the predicate as they run and if it is not in fact true – an assertion failure – the program considers itself to be broken and typically deliberatelycrashesor throws an assertion failureexception."
automata theory,"An associative array, map, symbol table, or dictionary is anabstract data typecomposed of acollectionof(key, value) pairs, such that each possible key appears at most once in the collection.

Operations associated with this data type allow:[14][15]the addition of a pair to the collectionthe removal of a pair from the collectionthe modification of an existing pairthe lookup of a value associated with a particular key"
automated reasoning,"The study ofabstract machinesandautomata, as well as thecomputational problemsthat can be solved using them. It is a theory intheoretical computer scienceanddiscrete mathematics(a subject of study in bothmathematicsandcomputer science)."
bandwidth,"An area ofcomputer scienceandmathematical logicdedicated to understanding different aspects ofreasoning. The study of automated reasoning helps producecomputer programsthat allow computers to reason completely, or nearly completely, automatically. Although automated reasoning is considered a sub-field ofartificial intelligence, it also has connections withtheoretical computer science, and evenphilosophy."
Bayesian programming,"The maximum rate of data transfer across a given path. Bandwidth may be characterized asnetwork bandwidth,[16]data bandwidth,[17]ordigital bandwidth.[18][19]"
benchmark,A formalism and a methodology for having a technique to specifyprobabilistic modelsand solve problems when less than the necessary information is available.
"best, worst and average case","The act of running acomputer program, a set of programs, or other operations, in order to assess the relative performance of an object, normally by running a number of standard tests and trials against it.[20]The termbenchmarkis also commonly utilized for the purposes of elaborately designed benchmarking programs themselves."
big data,"Expressions of what theresourceusage isat least,at most, andon average, respectively, for a givenalgorithm. Usually the resource being considered is running time, i.e.time complexity, but it could also be memory or some other resource.Best caseis the function which performs the minimum number of steps on input data ofnelements;worst caseis the function which performs the maximum number of steps on input data of sizen;average caseis the function which performs an average number of steps on input data ofnelements."
big O notation,"A term used to refer todata setsthat are too large or complex for traditionaldata-processingapplication softwareto adequately deal with. Data with many cases (rows) offer greaterstatistical power, while data with higher complexity (more attributes or columns) may lead to a higherfalse discovery rate.[21]"
binary number,"A mathematical notation that describes thelimiting behaviorof afunctionwhen the argument tends towards a particular value or infinity. It is a member of a family of notations invented byPaul Bachmann,[22]Edmund Landau,[23]and others, collectively calledBachmann–Landau notationorasymptotic notation."
binary search algorithm,"In mathematics anddigital electronics, a number expressed in the base-2 numeral system or binary numeral system, which uses only two symbols: typically0 (zero)and1 (one)."
binary tree,Asearch algorithmthat finds the position of a target value within asorted array.[27]
bioinformatics,"Atreedata structurein which each node has at most twochildren, which are referred to as theleft childand theright child. Arecursive definitionusing justset theorynotions is that a (non-empty) binary tree is atuple(L,S,R), whereLandRare binary trees or theempty setandSis asingleton set.[28]Some authors allow the binary tree to be the empty set as well.[29]"
bit,"An interdisciplinary field that combinesbiology,computer science,information engineering,mathematics, andstatisticsto develop methods andsoftware toolsfor analyzing and interpreting biological data. Bioinformatics is widely used forin silicoanalyses of biological queries using mathematical and statistical techniques."
bit rate(R),"Abasic unit of informationused incomputingand digital communications; a portmanteau ofbinary digit. Abinarydigit can have one of two possiblevalues, and may be physically represented with a two-state device. These state values are most commonly represented as either a0or1.[30]"
blacklist,"Intelecommunicationsandcomputing, the number ofbitsthat are conveyed or processed per unit of time.[31]"
BMP file format,"Incomputing, a basicaccess controlmechanism that allows through all elements (email addresses, users, passwords,URLs,IP addresses,domain names, filehashes, etc.), except those explicitly mentioned in a list of prohibited elements. Those items on the list are denied access. The opposite is awhitelist, which means only items on the list are allowed through whatever gate is being used while all other elements are blocked. Agreylistcontains items that are temporarily blocked (or temporarily allowed) until an additional step is performed."
Boolean data type,"Araster graphicsimage file formatused to storebitmapdigital images independently of thedisplay device(such as agraphics adapter), used especially onMicrosoft Windows[32]andOS/2[33]operating systems."
Boolean expression,"Adata typethat has one of two possible values (usually denotedtrueandfalse), intended to represent the twotruth valuesoflogicandBoolean algebra. It is named afterGeorge Boole, who first defined an algebraic system of logic in the mid-19th century. The Boolean data type is primarily associated withconditionalstatements, which allow different actions by changingcontrol flowdepending on whether a programmer-specified Booleanconditionevaluates to true or false. It is a special case of a more generallogical data type(seeprobabilistic logic)—i.e. logic need not always be Boolean."
Boolean algebra,"Anexpressionused in aprogramming languagethat returns aBoolean valuewhen evaluated, that is one oftrueorfalse. A Boolean expression may be composed of a combination of the Boolean constantstrueorfalse,Boolean-typedvariables, Boolean-valued operators, andBoolean-valued functions.[34]"
byte,"In mathematics andmathematical logic, the branch ofalgebrain which the values of the variables are thetruth valuestrueandfalse, usually denoted 1 and 0, respectively. Contrary toelementary algebra, where the values of the variables are numbers and the prime operations are addition and multiplication, the main operations of Boolean algebra are theconjunctionand(denoted as ∧), thedisjunctionor(denoted as ∨), and thenegationnot(denoted as ¬). It is thus a formalism for describing logical relations in the same way that elementary algebra describes numeric relations."
booting,"Aunit of digital informationthat most commonly consists of eightbits, representing abinary number. Historically, the byte was the number of bits used to encode a singlecharacterof text in a computer[35][36]and for this reason it is the smallestaddressableunit ofmemoryin manycomputer architectures."
callback,"The procedures implemented in starting up acomputerorcomputer applianceuntil it can be used. It can be initiated by hardware such as a button press or by a software command. After the power is switched on, the computer is relatively dumb and can read only part of its storage calledread-only memory. There, a small program is stored calledfirmware. It doespower-on self-testsand, most importantly, allows access to other types of memory like ahard diskandmain memory. The firmware loads biggerprogramsinto the computer'smain memoryand runs it."
central processing unit(CPU),"Anyexecutable codethat is passed as anargumentto other code that is expected to ""call back"" (execute) the argument at a given time. This execution may be immediate, as in asynchronous callback, or it might happen at a later time, as in anasynchronous callback."
character,"The electronic circuitry within acomputerthat carries out theinstructionsof acomputer programby performing the basic arithmetic, logic, controlling, andinput/output(I/O) operations specified by the instructions. The computer industry has used the term ""central processing unit"" at least since the early 1960s.[37]Traditionally, the term ""CPU"" refers to aprocessor, more specifically to its processing unit andcontrol unit(CU), distinguishing these core elements of a computer from external components such asmain memoryand I/O circuitry.[38]"
cipher,"Aunit of informationthat roughly corresponds to agrapheme, grapheme-like unit, or symbol, such as in analphabetorsyllabaryin the written form of anatural language.[39]"
class,"Incryptography, analgorithmfor performingencryptionordecryption—a series of well-defined steps that can be followed as aprocedure."
class-based programming,"Inobject-oriented programming, an extensible program-code-template for creatingobjects, providing initial values for state (member variables) and implementations of behavior (member functions ormethods).[40][41]In many languages, the class name is used as the name for the class (the template itself), the name for the defaultconstructorof the class (asubroutinethat creates objects), and as thetypeof objects generated byinstantiatingthe class; these distinct concepts are easily conflated.[41]"
client,"A style ofobject-oriented programming(OOP) in which inheritance occurs via defining ""classes"" ofobjects, instead of via the objects alone (compareprototype-based programming)."
cleanroom software engineering,"A piece ofcomputer hardwareorsoftwarethat accesses a service made available by aserver. The server is often (but not always) on anothercomputer system, in which case the client accesses the service by way of anetwork.[42]The term applies to the role that programs or devices play in theclient–server model."
closure,"Asoftware development processintended to produce software with a certifiable level ofreliability. The cleanroom process was originally developed byHarlan Millsand several of his colleagues including Alan Hevner atIBM.[43]The focus of the cleanroom process is on defect prevention, rather than defect removal."
cloud computing,"A technique for implementinglexically scopedname bindingin a language withfirst-class functions.Operationally, a closure is arecordstoring afunction[a]together with an environment.[44]"
code library,"Shared pools of configurable computersystem resourcesand higher-level services that can be rapidlyprovisionedwith minimal management effort, often over theInternet.  Cloud computing relies on sharing of resources to achieve coherence andeconomies of scale, similar to apublic utility."
coding,"A collection ofnon-volatile resourcesused bycomputer programs, often forsoftware development. These may include configuration data, documentation, help data, message templates,pre-written codeandsubroutines,classes,valuesortypespecifications. InIBM's OS/360 and its successorsthey are referred to aspartitioned data sets."
coding theory,"Computer programming is the process of designing and building anexecutablecomputer programfor accomplishing a specificcomputingtask. Programming involves tasks such as analysis, generatingalgorithms, profiling algorithms' accuracy and resource consumption, and the implementation of algorithms in a chosenprogramming language(commonly referred to ascoding[45][46]). Thesource codeof a program is written in one or more programming languages. The purpose of programming is to find a sequence of instructions that will automate the performance of a task for solving a given problem. The process of programming thus often requires expertise in several different subjects, including knowledge of theapplication domain, specialized algorithms, and formallogic."
cognitive science,"The study of the properties ofcodesand their respective fitness for specific applications. Codes are used fordata compression,cryptography,error detection and correction,data transmissionanddata storage. Codes are studied by various scientific disciplines—such asinformation theory,electrical engineering,mathematics,linguistics, andcomputer science—for the purpose of designing efficient and reliable data transmission methods. This typically involves the removal of redundancy and the correction or detection of errors in the transmitted data."
collection,"The interdisciplinary,scientificstudy of themindand its processes.[47]It examines the nature, the tasks, and the functions ofcognition(in a broad sense). Cognitive scientists study intelligence and behavior, with a focus on how nervous systems represent, process, and transforminformation. Mental faculties of concern to cognitive scientists include language, perception, memory, attention, reasoning, and emotion; to understand these faculties, cognitive scientists borrow from fields such as linguistics, psychology,artificial intelligence,philosophy,neuroscience, and anthropology.[48]"
comma-separated values(CSV),"A collection or container is a grouping of some variable number of data items (possibly zero) that have some shared significance to the problem being solved and need to be operated upon together in some controlled fashion.  Generally, the data items will be of the same type or, in languages supporting inheritance, derived from some common ancestor type. A collection is a concept applicable toabstract data types, and does not prescribe a specific implementation as a concretedata structure, though often there is a conventional choice (seeContainerfortype theorydiscussion)."
compiler,"A delimitedtext filethat uses a comma to separate values. A CSV file storestabulardata (numbers and text) inplain text.  Each line of the file is a datarecord.  Each record consists of one or morefields, separated bycommas. The use of the comma as a field separator is the source of the name for thisfile format."
computability theory,"Acomputer programthat transforms computer code written in oneprogramming language(the source language) into another programming language (the target language). Compilers are a type oftranslatorthat support digital devices, primarily computers. The namecompileris primarily used for programs that translatesource codefrom ahigh-level programming languageto alower-level language(e.g.assembly language,object code, ormachine code) to create anexecutableprogram.[49]"
computation,"also known asrecursion theory, is a branch ofmathematical logic, ofcomputer science, and of thetheory of computationthat originated in the 1930s with the study ofcomputable functionsandTuring degrees. The field has since expanded to include the study of generalized computability and definability. In these areas, recursion theory overlaps withproof theoryandeffective descriptive set theory."
computational biology,"Any type of calculation[50][51]that includes both arithmetical and non-arithmetical steps and follows a well-definedmodel, e.g. analgorithm. The study of computation is paramount to the discipline ofcomputer science."
computational chemistry,"Involves the development and application of data-analytical and theoretical methods,mathematical modellingand computational simulation techniques to the study of biological, ecological, behavioural, and social systems.[52]The field is broadly defined and includes foundations inbiology,applied mathematics,statistics,biochemistry,chemistry,biophysics,molecular biology,genetics,genomics,computer science, andevolution.[53]Computational biology is different frombiological computing, which is a subfield ofcomputer scienceandcomputer engineeringusingbioengineeringandbiologyto buildcomputers."
computational complexity theory,"A branch ofchemistrythat usescomputer simulationto assist in solving chemical problems. It uses methods oftheoretical chemistry, incorporated into efficientcomputer programs, to calculate the structures and properties of molecules and solids."
computational model,"A subfield ofcomputational sciencewhich focuses on classifying computational problems according to their inherent difficulty, and relating these classes to each other. A computational problem is a task solved by a computer. A computation problem is solvable by mechanical application of mathematical steps, such as analgorithm."
computational neuroscience,Amathematical modelincomputational sciencethat requires extensivecomputational resourcesto study the behavior of a complex system bycomputer simulation.[54]
computational physics,"A branch ofneurosciencewhich employs mathematical models, theoretical analysis, and abstractions of the brain to understand the principles that govern thedevelopment,structure,physiology, andcognitive abilitiesof thenervous system.[55][56][57][58]"
computational science,"Is the study and implementation ofnumerical analysisto solve problems inphysicsfor which aquantitative theoryalready exists.[59]Historically, computational physics was the first application of modern computers in science, and is now a subset ofcomputational science."
computational steering,"An interdisciplinary field that uses advanced computing capabilities to understand and solve complex problems. It is an area of science which spans many disciplines, but at its core it involves the development of computer models and simulations to understand complex natural systems."
computer,"Is the practice of manually intervening with an otherwise autonomouscomputational process, to change its outcome."
computer architecture,"A device that can be instructed to carry out sequences of arithmetic orlogicaloperations automatically viacomputer programming. Modern computers have the ability to follow generalized sets of operations, calledprograms. These programs enable computers to perform an extremely wide range of tasks."
computer data storage,"A set of rules and methods that describe the functionality, organization, and implementation ofcomputersystems. Some definitions of architecture define it as describing the capabilities and programming model of a computer but not a particular implementation.[60]In other definitions computer architecture involvesinstruction set architecturedesign,microarchitecturedesign,logic design, andimplementation.[61]"
computer ethics,A technology consisting ofcomputercomponents andrecording mediathat are used to retain digitaldata. Data storage is a core function and fundamental component of all modern computer systems.[62]: 15–16
computer graphics,A part ofpractical philosophyconcerned with how computing professionals should make decisions regarding professional and social conduct.[63]
computer network,"Pictures and films created using computers. Usually, the term refers to computer-generated image data created with the help of specialized graphical hardware and software. It is a vast and recently developed area of computer science."
computer program,"Adigitaltelecommunications networkwhich allowsnodesto share resources. In computer networks,computing devicesexchange datawith each other using connections (data links) between nodes. These data links are established overcable mediasuch as wires or optic cables, orwireless mediasuch asWi-Fi."
computer programming,Is a collection ofinstructions[64]that can beexecutedby acomputerto perform a specific task.
computer science,"The process of designing and building anexecutablecomputer programfor accomplishing a specificcomputingtask. Programming involves tasks such as analysis, generatingalgorithms, profiling algorithms' accuracy and resource consumption, and the implementation of algorithms in a chosenprogramming language(commonly referred to ascoding[45][46]). Thesource codeof a program is written in one or more programming languages. The purpose of programming is to find a sequence of instructions that will automate the performance of a task for solving a given problem. The process of programming thus often requires expertise in several different subjects, including knowledge of theapplication domain, specialized algorithms, and formallogic."
computer scientist,"The theory, experimentation, and engineering that form the basis for the design and use ofcomputers. It involves the study ofalgorithmsthat process, store, and communicatedigital information. Acomputer scientistspecializes in the theory ofcomputationand the design of computational systems.[65]"
computer security,"A person who has acquired the knowledge ofcomputer science, the study of the theoretical foundations of information and computation and their application.[66]"
computer vision,"The protection ofcomputer systemsfrom theft or damage to theirhardware,software, orelectronic data, as well as fromdisruptionormisdirectionof the services they provide."
computing,"An interdisciplinary scientific field that deals with how computers can be made to gain high-level understanding fromdigital imagesorvideos. From the perspective of engineering, it seeks to automate tasks that thehuman visual systemcan do.[68][69][70]"
concatenation,"Is any goal-oriented activity requiring, benefiting from, or creating computing machinery. It includes study ofalgorithmicprocesses and development of bothhardwareandsoftware. It has scientific, engineering, mathematical, technological and social aspects. Major computing fields includecomputer engineering,computer science,cybersecurity,data science,information systems,information technologyandsoftware engineering.[71]"
Concurrency,"Informal language theoryandcomputer programming, string concatenation  is the operation of joiningcharacter stringsend-to-end.  For example, the concatenation of ""snow"" and ""ball"" is ""snowball"". In certain formalisations ofconcatenation theory, also called string theory, string concatenation is aprimitive notion."
conditional,"The ability of different parts or units of a program, algorithm, or problem to be executed out-of-order or in partial order, without affecting the final outcome.  This allows for parallel execution of the concurrent units, which can significantly improve overall speed of the execution in multi-processor and multi-core systems. In more technical terms, concurrency refers to the decomposability property of a program, algorithm, or problem into order-independent or partially-ordered components or units.[72]"
container,"A feature of aprogramming languagewhich performs different computations or actions depending on whether a programmer-specifiedBooleancondition evaluates to true or false. Apart from the case ofbranch predication, this is always achieved by selectively altering thecontrol flowbased on some condition."
continuation-passing style(CPS),"Is aclass, adata structure,[73][74]or anabstract data type(ADT) whose instances are collections of other objects. In other words, they store objects in an organized way that follows specific access rules. The size of the container depends on the number of objects (elements) it contains. Underlying (inherited) implementations of various container types may vary in size and complexity, and provide flexibility in choosing the right implementation for any given scenario."
control flow,"A style offunctional programmingin whichcontrolis passed explicitly in the form of acontinuation. This is contrasted withdirect style, which is the usual style of programming.Gerald Jay SussmanandGuy L. Steele, Jr.coined the phrase inAI Memo349 (1975), which sets out the first version of theSchemeprogramming language.[75][76]"
Creative Commons(CC),"The order in which individualstatements,instructionsorfunction callsof animperativeprogramareexecutedor evaluated. The emphasis on explicit control flow distinguishes animperative programminglanguage from adeclarative programminglanguage."
cryptography,"An Americannon-profit organizationdevoted to expanding the range of creative works available for others to build upon legally and to share.[77]The organization has released severalcopyright-licenses, known asCreative Commons licenses, free of charge to the public."
CSV,"Or cryptology,  is the practice and study of techniques forsecure communicationin the presence of third parties calledadversaries.[78]More generally, cryptography is about constructing and analyzingprotocolsthat prevent third parties or the public from reading private messages;[79]various aspects ininformation securitysuch as dataconfidentiality,data integrity,authentication, andnon-repudiation[80]are central to modern cryptography. Modern cryptography exists at the intersection of the disciplines ofmathematics,computer science,electrical engineering,communication science, andphysics. Applications of cryptography includeelectronic commerce,chip-based payment cards,digital currencies,computer passwords, andmilitary communications."
cyberbullying,Seecomma-separated values.
cyberspace,A form ofbullyingorharassmentusing electronic means.
daemon,"Widespread, interconnected digitaltechnology."
Data,"Inmultitaskingcomputeroperating systems, a daemon (/ˈdiːmən/or/ˈdeɪmən/)[81]is acomputer programthat runs as abackground process, rather than being under the direct control of an interactive user. Traditionally, the process names of a daemon end with the letterd, for clarification that the process is in fact a daemon, and for differentiation between a daemon and a normal computer program. For example,syslogdis a daemon that implements system logging facility, andsshdis a daemon that serves incomingSSHconnections."
